"","th_ROS_microbe","th_ROS_epith_recover","epith_recovery_chance","rat_com_pat_threshold","diffusion_speed_DAMPs","diffusion_speed_SAMPs","diffusion_speed_ROS","add_ROS","add_DAMPs","add_SAMPs","ros_decay","DAMPs_decay","SAMPs_decay","activation_threshold_DAMPs","activation_threshold_SAMPs","activity_engulf_M0_baseline","activity_engulf_M1_baseline","activity_engulf_M2_baseline","activity_ROS_M1_baseline","rate_leak_commensal_injury","rate_leak_pathogen_injury","rate_leak_commensal_baseline","active_age_limit","treg_discrimination_efficiency","target_category","source_node"
"1",0.863790183789677,0.277999711205893,0.229087719384975,0.627407663213633,0.0106781177276116,0.114096292490265,0.0476016952955478,0.103091702617596,0.281102635801112,0.614133762235851,0.851478149636536,0.476992557905024,0.550701089745915,0.0070106923918343,0.373750249465101,0.362741910977416,0.24715562497033,0.426871136897286,0.419182862715785,0.864805036296944,0.921967452876695,0.205620178165349,19.7762996376888,0.445764739972198,"better",4
"2",0.0814759678235906,0.0945353958959211,0.423079506699138,0.91221392591791,0.030868317313637,0.0917965855116247,0.0719096995010896,0.793379253194393,0.802261503559529,0.340636875537649,0.605241418800041,0.715441105117159,0.163613963921745,0.00613080825011826,0.77724918119594,0.112005790203608,0.0917857834085835,0.184069245328926,0.348476719908467,0.877837986360731,0.912924708892072,0.115482488025332,25.6815614430932,0.33311895324285,"better",4
"3",0.539597968137632,0.457620466680365,0.19534308269283,0.87191120612211,0.0177102375333772,0.0266753554323875,0.0881282665737665,0.464266324204963,0.525498440843836,0.717170836451625,0.336541054242564,0.431437284941705,0.28836534351988,0.00816839093116018,0.500896944220963,0.157837076467278,0.2878112186553,0.324689225481879,0.237073653418135,0.573656573413327,0.646599320008247,0.0655411225273394,5.58177426307928,0.961716370472957,"better",4
"4",0.493781493624247,0.446708453255827,0.813513582117174,0.697964740736031,0.0261478661074645,0.0514759329117744,0.0274404149253011,0.2384296417181,0.662354806416712,0.388601057933013,0.0807661724103781,0.329902831193825,0.907266810464863,0.00404832843340605,0.263751282311162,0.257230089323026,0.383882953899392,0.331581175381721,0.0569821811959712,0.651350557352135,0.803229282181834,0.0361249248732911,12.7705463324208,0.629402446646068,"better",4
"5",0.338459605937519,0.192629944044779,0.732498195466589,0.799942492524536,0.0386106673789731,0.0690517882617886,0.0202504324657415,0.593326694993102,0.209529843749223,0.0928568295118355,0.47511597752174,0.593108980713647,0.601838945248746,0.0020437666892709,0.742076169050992,0.412615852455375,0.166222725441278,0.154249238679513,0.206450641749174,0.737600221012202,0.774164612841841,0.166847131514082,16.4654184409464,0.684373256416121,"better",4
"6",0.627714573055314,0.962994641511882,0.11037278918248,0.868327192503795,0.0397523304435834,0.053762918021824,0.0336257141396139,0.0912804319054438,0.333514566072529,0.134624226650551,0.434030201314661,0.0499715558255001,0.649189415656599,0.00558981688940736,0.646908635783713,0.307787226176399,0.143876400236962,0.100079971257514,0.271822303020406,0.575629084407357,0.595200364085307,0.141824139332204,10.7334302801639,0.45109445933615,"better",5
"7",0.344426154645636,0.871121848954786,0.281485689357362,0.77139380094128,0.00399745173074456,0.106521117879425,0.0878934369026732,0.329261978969634,0.152837834872094,0.815449145620559,0.625794266340028,0.776354660138546,0.426877997256912,0.00384441244578217,0.681249103833536,0.43934958045608,0.376533197409216,0.262284618263026,0.142577857325586,0.874137226711443,0.71491374431268,0.169922501271787,19.6363995183259,0.691097772985543,"better",5
"8",0.543991235948736,0.756615599211362,0.513237659516587,0.600635070946065,0.0161923568476061,0.039949518545452,0.00703456853470872,0.588389554429115,0.662623422506955,0.254313310069134,0.168301339928899,0.634870464115204,0.228254022385122,0.00292407454361454,0.513103302362899,0.324327847378408,0.253328452049849,0.215068307912224,0.191419429430013,0.634280768309062,0.87948743149702,0.0928919732916585,25.6997240178287,0.289838733351223,"better",5
"9",0.754833569593195,0.822840550690223,0.753637211364896,0.934510150874431,0.0305281441266116,0.07358920675853,0.0629354635111998,0.769118908022858,0.467516878326318,0.563841923018989,0.901113157599011,0.290106070376957,0.17567632766676,0.00960788968050481,0.238266436464645,0.112248227209445,0.183049173806332,0.361326126881138,0.350017770168821,0.718133327625597,0.819409058099109,0.111643728108094,13.4135035827756,0.189848905988138,"better",5
"10",0.207566030627023,0.700697636916239,0.376916582084523,0.703164555080508,0.0269674002444239,0.0944794777435653,0.0925181078426213,0.512257587261333,0.770982718116122,0.512509011397201,0.698217910454825,0.510539923723782,0.827554140941273,0.0085927906866398,0.910922161222672,0.210237615439598,0.460372999640459,0.0486248765085916,0.0405333616016836,0.834419248845593,0.670207526190294,0.0419802175318571,25.1846254024655,0.646829686675176,"better",5
